"x" "y" "z"
"208" 42.85631 36.1548 1
"209" 37.07244 37.95401 1
"210" 98.05642 52.47677 1
"211" 23.48097 33.94497 1
"212" 25.99771 34.29973 1
"213" 87.11752 47.10963 1
"214" 16.40208 31.10617 1
"215" 79.94823 51.84907 1
"216" 59.03252 39.68543 1
"217" 8.86732 29.72042 1
"218" 34.09096 40.85095 1
"219" 26.62382 35.0611 1
"220" 80.25504 45.1789 1
"221" 19.83797 28.78725 1
"222" 60.90953 41.95997 1
"223" 7.737775 28.64639 1
"224" 17.87545 26.74686 1
"225" 72.95465 46.67909 1
"226" 30.12102 33.56273 1
"227" 54.6635 40.02604 1
"228" 13.5225 31.11717 1
"229" 69.04751 44.66329 1
"230" 63.84137 39.67979 1
"231" 82.96889 48.76233 1
"232" 99.2091 55.23515 1
"233" 75.90073 47.32251 1
"234" 21.09738 24.32935 1
"235" 10.52075 25.52038 1
"236" 66.2493 41.30685 1
"237" 87.07296 53.66759 1
"238" 82.95092 51.23893 1
"239" 87.40985 50.77603 1
"240" 73.25916 44.72536 1
"241" 99.2867 55.46972 1
"242" 15.68673 29.69594 1
"243" 6.031937 23.62967 1
"244" 38.11955 34.03005 1
"245" 10.49621 30.12082 1
"246" 92.56361 47.28846 1
"247" 67.04201 45.02451 1
"248" 37.40342 36.84163 1
"249" 63.77918 43.42958 1
"250" 51.72261 37.80747 1
"251" 44.11144 37.21612 1
"252" 82.63942 48.86614 1
"253" 90.514 45.61422 1
"254" 5.029196 21.90413 1
"255" 68.10348 42.71992 1
"256" 49.40476 37.1276 1
"257" 83.54386 51.55479 1
"258" 47.94333 43.50869 1
"259" 56.57284 37.71517 1
"260" 75.3108 44.04632 1
"261" 16.30101 25.30929 1
"262" 55.85087 44.84207 1
"263" 46.04219 33.78076 1
"264" 73.55403 50.44015 1
"265" 82.92565 46.37154 1
"266" 90.74304 52.60198 1
"267" 99.31368 51.99116 1
"268" 92.62888 52.69141 1
"269" 56.80318 37.15995 1
"270" 79.78273 49.10243 1
"271" 77.67198 50.77218 1
"272" 34.04731 34.72216 1
"273" 21.87909 28.98806 1
"274" 66.48732 42.50404 1
"275" 31.67054 33.07992 1
"276" 98.82756 56.09468 1
"277" 94.71505 50.50494 1
"278" 1.910308 23.23577 1
"279" 39.13322 36.12654 1
"280" 45.72816 35.71517 1
"281" 75.29085 48.03015 1
"282" 91.16646 53.17234 1
"283" 61.09308 41.48833 1
"284" 62.2207 41.64714 1
"285" 31.36638 34.84069 1
"286" 93.80196 55.78558 1
"287" 35.46188 35.49397 1
"288" 12.63955 28.14598 1
"289" 55.489 42.69888 1
"290" 35.52258 36.76343 1
"291" 65.77271 42.88374 1
"292" 9.92675 26.33946 1
"293" 87.88902 47.23332 1
"294" 55.36595 38.14748 1
"295" 54.48521 42.11672 1
"296" 79.39783 53.89003 1
"297" 80.75142 51.08925 1
"298" 37.74076 37.61934 1
"299" 77.68413 50.04663 1
"300" 8.813502 28.92884 1
"301" 34.66414 35.05181 1
"302" 36.23513 36.19491 1
"303" 71.4882 42.84872 1
"304" 43.81382 35.99806 1
"305" 74.00274 48.12328 1
"306" 35.53707 35.63925 1
"307" 25.79219 34.70895 1
"308" 27.58666 36.35315 1
"309" 29.46685 35.25109 1
"310" 97.45893 53.70855 1
"311" 6.300958 21.05131 1
"312" 40.32825 40.69932 1
"313" 0.03192024 29.30738 1
"314" 44.55709 38.52837 1
"315" 1.523862 28.30415 1
"316" 2.413508 31.23578 1
"317" 51.87585 42.07031 1
"318" 9.209952 29.5606 1
"319" 25.38269 33.59486 1
"320" 53.24676 35.63181 1
"321" 55.07045 39.77066 1
"322" 59.68833 46.9682 1
"323" 83.77343 42.56442 1
"324" 5.786227 28.26951 1
"325" 71.92039 44.61382 1
"326" 38.44157 35.20612 1
"327" 88.65514 50.25814 1
"328" 85.07382 52.05973 1
"329" 51.66195 40.54126 1
"330" 4.805643 33.25859 1
"331" 48.26196 39.25969 1
"332" 74.42197 45.29501 1
"333" 58.88925 42.80979 1
"334" 97.31837 55.28682 1
"335" 13.77029 26.45219 1
"336" 94.38998 53.88098 1
"337" 77.11049 43.82229 1
"338" 18.58059 32.37903 1
"339" 29.43173 35.30062 1
"340" 38.73585 36.80314 1
"341" 64.86185 42.25605 1
"342" 68.06191 49.26981 1
"343" 67.29513 42.89457 1
"344" 8.793047 26.33232 1
"345" 61.53004 44.92962 1
"346" 30.52198 33.58428 1
"347" 6.550581 28.8741 1
"348" 88.8291 52.956 1
"349" 72.45668 50.91104 1
"350" 93.03762 52.36864 1
"351" 98.80798 56.71693 1
"352" 66.98566 44.72825 1
"353" 90.81199 50.21199 1
"354" 0.1896715 29.03212 1
"355" 91.86352 54.87716 1
"356" 50.42325 36.18809 1
"357" 4.723051 27.1031 1
"358" 63.47731 48.77867 1
"359" 81.12104 47.50271 1
"360" 78.21824 45.60284 1
"361" 92.94702 56.70206 1
"362" 21.21514 29.85007 1
"363" 43.66525 39.58188 1
"364" 27.41723 32.64133 1
"365" 35.44186 37.79989 1
"366" 30.30405 36.05824 1
"367" 85.88328 49.75789 1
"368" 51.86266 40.42123 1
"369" 82.3647 53.62478 1
"370" 23.84768 30.36344 1
"371" 86.71772 53.4035 1
"372" 25.2828 31.8968 1
"373" 93.633 53.38533 1
"374" 56.09946 45.15897 1
"375" 83.28167 46.21015 1
"376" 77.13521 45.72783 1
"377" 35.45618 38.36605 1
"378" 49.11908 47.19821 1
"379" 28.29209 30.89039 1
"380" 43.05852 36.10296 1
"381" 71.77618 48.38244 1
"382" 68.4153 46.48373 1
"383" 6.50209 30.00139 1
"384" 40.22277 35.25367 1
"385" 47.8079 44.67661 1
"386" 58.5041 45.26189 1
"387" 65.40127 46.11509 1
"388" 94.24822 51.02222 1
"389" 73.72505 41.81692 1
"390" 57.92255 40.19132 1
"391" 38.51066 40.88547 1
"392" 94.83488 51.76925 1
"393" 29.44753 38.33972 1
"394" 82.3041 51.75864 1
"395" 65.1046 39.69566 1
"396" 56.47112 38.68754 1
"397" 0.3945387 21.94127 1
"398" 88.1601 51.98601 1
"399" 24.70561 29.97164 1
"400" 33.76388 39.70766 1
"401" 50.8239 38.5116 1
"402" 80.55362 46.79166 1
"403" 54.2158 35.68611 1
"404" 33.00106 37.99908 1
"405" 23.38877 36.07271 1
"406" 90.2141 52.80225 1
"407" 10.60813 22.2472 1
"408" 29.97989 31.24863 1
"409" 14.83769 28.64515 1
"410" 14.84819 26.37657 1
"411" 66.77141 43.98539 1
"412" 42.92022 39.89134 1
"413" 78.81641 45.13797 1
"414" 96.67291 51.20678 1
"415" 94.63575 49.45779 1
"416" 56.74659 40.50629 1
"417" 37.44478 35.5167 1
"418" 78.34025 50.53065 1
"419" 87.6924 51.15579 1
"420" 2.839887 25.0398 1
"421" 55.79008 42.97432 1
"422" 86.93279 54.42541 1
"423" 31.2629 33.05203 1
"424" 1.666087 26.39817 1
"425" 17.48606 31.44521 1
"426" 67.27113 45.081 1
"427" 54.85594 42.76625 1
"428" 32.1536 34.61283 1
"429" 90.0228 54.23674 1
"430" 26.385 31.17427 1
"431" 26.46477 40.48957 1
"432" 32.05072 33.97139 1
"433" 33.5948 36.0279 1
"434" 18.95727 28.65822 1
"435" 40.85912 40.49881 1
"436" 56.13108 42.39379 1
"437" 68.74635 45.0113 1
"438" 61.74461 47.13849 1
"439" 24.7347 30.57597 1
"440" 81.77651 55.8034 1
"441" 36.3264 38.27594 1
"442" 52.47204 43.15705 1
"443" 33.16069 35.10518 1
"444" 52.76052 44.14059 1
"445" 48.08642 38.29613 1
"446" 60.40021 45.43808 1
"447" 70.76134 48.71535 1
"448" 4.746915 29.57236 1
"449" 39.83937 36.39363 1
"450" 24.0188 28.21317 1
"451" 98.71592 53.17051 1
"452" 57.11086 37.87679 1
"453" 28.53344 32.58011 1
"454" 39.19912 38.24101 1
"455" 95.57614 48.74068 1
"456" 0.7610972 26.48558 1
"457" 53.74028 37.9747 1
"458" 93.03158 48.5511 1
"459" 18.61612 30.66986 1
"460" 36.51278 33.33385 1
"461" 30.99691 29.2735 1
"462" 14.25933 27.28196 1
"463" 28.04845 36.39127 1
"464" 45.2908 38.61039 1
"465" 47.14637 45.52699 1
"466" 20.43847 27.9672 1
"467" 69.37164 46.3741 1
"468" 10.95252 23.09392 1
"469" 70.46987 43.59316 1
"470" 26.38015 30.61146 1
"471" 38.96407 36.62339 1
"472" 5.561997 26.8289 1
"473" 88.40223 50.27124 1
"474" 6.00428 26.0956 1
"475" 7.345223 28.59452 1
"476" 6.141911 25.12876 1
"477" 15.45973 27.93045 1
"478" 23.40886 31.5811 1
"479" 0.8989036 27.99491 1
"480" 61.58435 45.41199 1
"481" 78.8452 45.00621 1
"482" 16.89366 26.6323 1
"483" 86.44203 49.97879 1
"484" 87.61163 54.34447 1
"485" 27.78788 32.48734 1
"486" 14.79867 30.85979 1
"487" 40.64632 37.48866 1
"488" 10.55396 28.0586 1
"489" 56.07587 39.60046 1
"490" 1.837277 22.35276 1
"491" 97.92376 57.08056 1
"492" 25.17436 35.11523 1
"493" 31.18821 31.16771 1
"494" 95.34359 51.18233 1
"495" 18.58393 31.39549 1
"496" 8.995822 32.40359 1
"497" 80.30037 48.19514 1
"498" 1.344207 25.43346 1
"499" 23.59467 37.07387 1
"500" 24.37552 29.36098 1
"501" 89.3108 52.90387 1
"502" 71.24936 46.78125 1
"503" 11.88237 31.25198 1
"504" 9.308568 29.264 1
"505" 67.29784 38.00771 1
"506" 89.71087 53.8112 1
"507" 57.00708 40.15752 1
"508" 43.00879 39.15032 1
"509" 27.53353 29.09598 1
"510" 16.22855 32.61566 1
"511" 63.99266 43.82396 1
"512" 54.08141 43.56687 1
"513" 6.650856 25.69629 1
"514" 70.75279 50.88403 1
"515" 11.31224 28.08509 1
"516" 86.65678 50.2273 1
"517" 73.65212 43.97076 1
"518" 92.90815 57.68936 1
"519" 40.86416 36.90251 1
"520" 13.92306 27.98409 1
"521" 39.35589 35.4664 1
"522" 13.89073 28.72537 1
"523" 36.85926 37.61345 1
"524" 31.30243 29.7751 1
"525" 34.87496 40.9174 1
"526" 96.10575 56.2895 1
"527" 19.7992 32.88149 1
"528" 44.11189 34.86219 1
"529" 97.9835 54.85661 1
"530" 88.8094 52.28763 1
"531" 46.26407 41.96273 1
"532" 42.33984 41.23118 1
"533" 87.53023 56.50519 1
"534" 56.97105 41.74866 1
"535" 12.43035 30.47843 1
"536" 9.266069 28.57564 1
"537" 78.4322 52.40694 1
"538" 60.40885 44.53384 1
"539" 43.87391 40.11232 1
"540" 2.854395 23.06183 1
"541" 78.53406 44.724 1
"542" 24.76878 29.01044 1
"543" 34.61602 37.45893 1
"544" 88.73945 53.8148 1
"545" 22.42586 28.59535 1
"546" 47.79169 39.01925 1
"547" 89.0853 52.37508 1
"548" 97.34271 53.07329 1
"549" 82.1229 46.80925 1
"550" 49.92698 41.21505 1
"551" 61.23964 37.86029 1
"552" 34.15393 32.97915 1
"553" 15.6022 31.52961 1
"554" 22.34373 29.01716 1
"555" 1.890515 25.49578 1
"556" 14.60691 29.22282 1
"557" 13.58039 25.793 1
"558" 87.56382 53.31502 1
"559" 73.37773 46.44546 1
"560" 71.79125 46.11987 1
"561" 26.10556 31.5268 1
"562" 70.68051 39.96539 1
"563" 13.34266 29.2923 1
"564" 0.9261676 22.61689 1
"565" 45.65199 33.9692 1
"566" 8.137736 23.06081 1
"567" 75.7138 53.14419 1
"568" 70.7806 48.00325 1
"569" 91.13954 50.38214 1
"570" 93.24737 51.99487 1
"571" 0.7771826 26.06677 1
"572" 75.65167 53.96645 1
"573" 33.39828 34.52368 1
"574" 72.52372 41.28048 1
"575" 90.76202 52.52617 1
"576" 1.699549 27.15913 1
"577" 85.02711 55.28317 1
"578" 97.91982 54.33674 1
"579" 93.48916 51.49224 1
"580" 95.01643 56.34453 1
"581" 16.32274 28.16505 1
"582" 60.20912 41.10697 1
"583" 23.08916 33.97057 1
"584" 25.69826 32.99694 1
"585" 74.01917 47.67012 1
"586" 57.63205 41.63615 1
"587" 51.35994 36.22485 1
"588" 2.114699 27.46961 1
"589" 15.12774 27.67982 1
"590" 16.20079 27.35109 1
"591" 97.11136 55.32647 1
"592" 73.34182 46.7239 1
"593" 93.89009 56.45329 1
"594" 38.01328 39.11351 1
"595" 95.56407 51.32227 1
"596" 16.82327 28.97058 1
"597" 32.75221 34.68291 1
"598" 66.54072 43.29531 1
"599" 96.65733 54.62822 1
"600" 80.21971 51.9257 1
"601" 91.74516 50.91295 1
"602" 53.25778 37.30605 1
"603" 31.64297 36.76969 1
"604" 65.05069 43.6158 1
"605" 20.22726 30.62487 1
"606" 80.48935 50.07877 1
"607" 43.41891 45.73423 1
"608" 26.61038 35.86029 1
"609" 42.18105 39.56503 1
"610" 26.36088 34.76763 1
"611" 64.4795 41.0129 1
"612" 78.81082 48.98962 1
"613" 20.60323 32.1692 1
"614" 82.31433 48.65836 1
"615" 39.55929 38.52411 1
"616" 91.3368 53.82143 1
"617" 66.72853 40.52572 1
"618" 71.28053 52.90719 1
"619" 94.18416 55.34037 1
"620" 6.286474 25.97714 1
"621" 87.53741 48.97599 1
"622" 73.96578 42.48507 1
"623" 70.69087 42.94999 1
"624" 51.05186 40.18557 1
"625" 15.47014 26.87742 1
"626" 83.86783 49.95634 1
"627" 9.259611 28.20408 1
"628" 76.84855 43.91419 1
"629" 99.89826 49.27854 1
"630" 26.18575 38.38718 1
"631" 41.0751 34.06798 1
"632" 59.29376 40.46077 1
"633" 4.335442 28.43367 1
"634" 49.35765 33.60919 1
"635" 41.10377 35.14491 1
"636" 66.3095 47.3948 1
"637" 7.88789 22.6546 1
"638" 17.51123 30.88662 1
"639" 2.835152 20.96974 1
"640" 2.911044 25.02346 1
"641" 71.26063 52.25063 1
"642" 91.92241 52.01646 1
"643" 10.4233 26.46965 1
"644" 1.349113 23.33877 1
"645" 82.76421 55.58379 1
"646" 3.72879 25.89376 1
"647" 35.56566 41.57779 1
"648" 73.48497 51.09105 1
"649" 64.29518 49.00526 1
"650" 61.13306 46.44445 1
"651" 27.39517 33.77261 1
"652" 78.49614 52.74842 1
"653" 14.69703 30.63895 1
"654" 31.73633 30.79344 1
"655" 11.45471 25.85199 1
"656" 46.79117 41.76903 1
"657" 37.94043 35.16919 1
"658" 42.12083 37.13142 1
"659" 97.20173 56.36994 1
"660" 6.570619 26.53493 1
"661" 8.620458 27.23687 1
"662" 87.13968 47.9797 1
"663" 88.65955 52.29594 1
"664" 81.30596 51.4906 1
"665" 84.91473 49.33595 1
"666" 42.20649 42.91274 1
"667" 80.12883 48.45463 1
"668" 7.754426 29.78859 1
"669" 53.98257 42.52926 1
"670" 23.90624 31.68147 1
"671" 4.645114 25.22426 1
"672" 63.34214 49.31927 1
"673" 93.06377 50.50308 1
"674" 58.14051 39.9823 1
"675" 30.84983 34.5491 1
"676" 25.67858 34.19576 1
"677" 63.44156 53.30744 1
"678" 64.16191 44.27344 1
"679" 71.23372 43.21775 1
"680" 21.06939 32.82445 1
"681" 32.07639 32.57555 1
"682" 36.68727 36.17983 1
"683" 39.21529 40.63284 1
"684" 4.671562 26.578 1
"685" 7.850245 27.04923 1
"686" 60.73237 38.98389 1
"687" 79.39345 48.32382 1
"688" 99.6814 55.14057 1
"689" 37.71271 29.38843 1
"690" 95.42748 52.57073 1
"691" 76.19033 52.48878 1
"692" 60.0061 44.03234 1
"693" 11.18062 22.90386 1
"694" 31.52844 32.96682 1
"695" 18.97914 30.05994 1
"696" 34.90211 27.10088 1
"697" 86.57224 48.70755 1
"698" 50.57691 39.84574 1
"699" 27.00044 28.21925 1
"700" 34.2098 35.49818 1
"701" 67.17063 47.49969 1
"702" 43.0213 42.04719 1
"703" 80.5799 43.57349 1
"704" 78.9595 47.51408 1
"705" 33.19826 41.14228 1
"706" 37.87242 35.51325 1
"707" 54.70228 38.45313 1
"708" 2.667264 24.24665 1
"709" 14.86086 28.27393 1
"710" 48.88788 38.29622 1
"711" 52.53389 38.60086 1
"712" 87.69028 52.83279 1
"713" 54.09026 36.16238 1
"714" 8.212239 26.28994 1
"715" 69.01404 44.2938 1
"716" 24.5675 35.89091 1
"717" 27.49187 37.43875 1
"718" 43.65752 33.38652 1
"719" 32.3584 35.48983 1
"720" 87.58051 50.39052 1
"721" 6.799072 24.20064 1
"722" 79.83243 55.05038 1
"723" 74.55283 44.38538 1
"724" 71.56428 46.48617 1
"725" 59.23298 38.28955 1
"726" 87.65105 44.63961 1
"727" 69.02457 50.63075 1
"728" 95.56004 48.97718 1
"729" 66.23144 45.10927 1
"730" 93.09247 54.57179 1
"731" 57.53432 37.9013 1
"732" 74.63236 48.17344 1
"733" 68.08108 44.8025 1
"734" 45.5336 40.02646 1
"735" 43.43521 42.1137 1
"736" 15.9096 27.96672 1
"737" 44.00556 33.69309 1
"738" 82.72185 54.25152 1
"739" 16.23472 30.71778 1
"740" 77.61221 50.02309 1
"741" 31.17399 37.70899 1
"742" 49.38559 40.34357 1
"743" 37.54849 35.02628 1
"744" 38.15607 35.88543 1
"745" 74.66984 42.18436 1
"746" 88.85273 51.14261 1
"747" 45.75127 37.87971 1
"748" 56.94627 39.51584 1
"749" 95.02081 54.57993 1
"750" 41.01516 36.76928 1
"751" 85.57459 53.22808 1
"752" 4.510209 26.69107 1
"753" 0.9882676 27.28409 1
"754" 10.36932 26.43463 1
"755" 33.02348 36.8761 1
"756" 37.03589 35.90256 1
"757" 35.93451 43.38814 1
"758" 82.43256 50.92002 1
"759" 94.50156 59.24787 1
"760" 97.69174 57.24855 1
"761" 84.27163 46.53682 1
"762" 84.98162 52.0171 1
"763" 56.12163 39.23139 1
"764" 97.1835 51.65891 1
"765" 5.856757 18.33571 1
"766" 51.47551 36.87402 1
"767" 1.491593 23.43718 1
"768" 92.435 48.86094 1
"769" 72.69425 44.65868 1
"770" 88.17084 56.77527 1
"771" 8.894904 29.54809 1
"772" 17.03832 34.82991 1
"773" 71.08787 40.14955 1
"774" 74.93172 43.85344 1
"775" 51.60063 42.08338 1
"776" 94.27667 48.7148 1
"777" 95.54067 52.51044 1
"778" 28.21988 36.12464 1
"779" 32.92717 33.23751 1
"780" 16.10626 27.75818 1
"781" 19.61657 32.82028 1
"782" 15.60005 32.99842 1
"783" 22.24649 31.53428 1
"784" 6.793003 22.72443 1
"785" 68.57777 45.30982 1
"786" 14.38377 29.92993 1
"787" 8.484699 22.7938 1
"788" 45.36509 38.55239 1
"789" 4.643268 31.54398 1
"790" 4.385427 26.13009 1
"791" 34.26843 33.49884 1
"792" 45.83848 37.9191 1
"793" 12.98954 23.90914 1
"794" 94.60033 53.20712 1
"795" 20.84002 32.3659 1
"796" 20.71774 33.0515 1
"797" 52.96783 42.52129 1
"798" 8.546467 22.5995 1
"799" 20.84086 34.92859 1
"800" 12.54977 26.74051 1
"801" 14.38552 32.50171 1
"802" 30.79469 38.96745 1
"803" 95.90244 51.92849 1
"804" 6.711224 26.99466 1
"805" 24.10584 31.64917 1
"806" 57.74286 35.94864 1
"807" 89.70571 51.00342 1
"808" 11.3826 31.07175 1
"809" 32.73271 39.11014 1
"810" 37.44124 36.06663 1
"811" 72.56671 47.17196 1
"812" 61.81485 48.418 1
"813" 41.61544 33.68307 1
"814" 62.53242 44.00264 1
"815" 54.75073 45.79641 1
"816" 66.57013 45.45333 1
"817" 2.709834 28.34795 1
"818" 16.47844 28.00884 1
"819" 68.93413 45.15157 1
"820" 45.17052 38.02259 1
"821" 85.0254 47.19547 1
"822" 56.18038 44.77985 1
"823" 79.9267 46.19126 1
"824" 92.77471 49.25178 1
"825" 36.48889 36.89663 1
"826" 10.11382 21.03046 1
"827" 58.95372 44.42092 1
"828" 43.73833 36.77671 1
"829" 32.97629 35.78524 1
"830" 38.64225 33.94346 1
"831" 31.60636 35.26613 1
"832" 32.38436 41.9655 1
"833" 69.43854 39.82399 1
"834" 25.96654 35.18964 1
"835" 85.23532 51.83511 1
"836" 77.6915 48.50123 1
"837" 94.60708 55.22237 1
"838" 54.6052 40.09979 1
"839" 56.57429 40.23911 1
"840" 3.813052 26.7772 1
"841" 77.69107 51.02434 1
"842" 68.40356 41.30074 1
"843" 89.37823 50.4232 1
"844" 76.20735 47.94919 1
"845" 40.34605 34.75967 1
"846" 31.66253 30.05529 1
"847" 34.45378 37.1634 1
"848" 10.2642 28.12283 1
"849" 10.3097 27.53952 1
"850" 39.50617 31.94934 1
"851" 77.07866 43.2874 1
"852" 70.35368 47.33898 1
"853" 19.45708 34.35154 1
"854" 73.86083 41.50976 1
"855" 73.86253 45.68838 1
"856" 40.38092 38.05884 1
"857" 99.18593 54.37063 1
"858" 24.06727 32.94604 1
"859" 67.70205 42.80159 1
"860" 40.76143 35.45723 1
"861" 73.39175 49.6081 1
"862" 56.46457 45.56123 1
"863" 52.98669 38.87894 1
"864" 6.413975 24.99466 1
"865" 15.15387 28.67321 1
"866" 29.11779 35.33657 1
"867" 24.39246 32.17281 1
"868" 93.59766 55.71487 1
"869" 80.66602 51.49259 1
"870" 28.91456 34.355 1
"871" 10.79257 21.19629 1
"872" 58.96818 38.57948 1
"873" 8.955069 26.03102 1
"874" 43.47097 39.69841 1
